--- Resumen de transferencias de bloques ---

Peer X recibio el bloque K del Peer Y (o server)

Bloque    Peer 0         Peer 1         Peer 2         Peer 3         
0         1              Server         0              0              
1         3              3              3              Server         
2         2              Server         1              Server         
3         1              Server         1              1              
4         Server         Server         1              1              
5         1              2              Server         2              
6         Server         3              3              Server         
7         Server         0              1              0              
8         1              Server         3              0              
9         Server         0              3              1              
10        3              3              1              Server         
11        3              Server         3              1              
12        Server         0              3              0              
13        3              3              3              Server         
14        1              Server         1              2              
